"","X","Name","JobID","YearofBirth","AttritionStatus","DistanceFromHome","JobLevel","WorkLifeBalance","PercentSalaryHike","HourlyRate","YearsWithCurrManager","MonthlyRate","JobSatisfaction","Over18","EnvironmentSatisfaction","YearsSinceLastPromotion","JobRole","EducationLevel","YearsAtCompany","Gender","Travel_For_Business","EducationField","MaritalStatus","PerformanceRating","MonthlyIncome","StandardHours","Age","TotalWorkingYears","EmployeeNumber","LastYearTrainingTime","RelationshipSatisfaction","EmployeeCount","OverTime","Department","YearsInCurrentRole","JobInvolvement","StockOptionLevel","NumCompaniesWorked","DailyRate"
"275",275,"Alloway Jr, Lucy",1275,1983,"No",11,2,2,13,100,0,14369,"Very Satisfied","Y",2,0,"Sales Executive",4,6,"Female","Travel_Rarely","Marketing","Married","High",6652,80,36,8,2037,2,1,1,"No","Sales",3,2,1,4,1120
"276",276,"Rice, Libby",1276,1990,"Yes",1,1,3,11,36,0,6689,"Disatisfied","Y",2,0,"Laboratory Technician",2,1,"Female","Travel_Rarely","Life Sciences","Married","High",2319,80,29,1,824,1,4,1,"Yes","Research & Development",0,2,1,1,805
"277",277,"Vaughn, Chengleng",1277,1986,"No",NA,2,4,13,95,7,15480,"OK","Y",3,0,"Sales Executive",2,7,"Male","Non-Travel","Marketing","Married","High",6146,80,33,8,153,2,1,1,"No","Sales",7,3,1,0,750
"278",278,"Khan, Alicia",1278,1987,"No",29,1,3,13,49,1,15919,"OK","Y",3,4,"Laboratory Technician",4,6,"Female","Travel_Rarely","Life Sciences","Single","High",2837,80,32,6,2017,3,3,1,"No","Research & Development",2,2,0,1,267
"279",279,"Zentmyer, Michelle",1279,1974,"No",11,4,4,13,90,1,5404,"Very Satisfied","Y",4,1,"Manager",2,9,"Female","Travel_Rarely","Life Sciences","Married","High",17650,80,45,26,1040,4,2,1,"No","Sales",3,3,1,3,1234
"280",280,"Patterson, Devante",1280,1986,"No",1,1,2,12,59,0,20439,"Satisfied","Y",2,0,"Laboratory Technician",2,1,"Male","Non-Travel","Medical","Divorced","High",2008,80,33,1,1996,2,3,1,"No","Research & Development",1,2,3,1,1313
"281",281,"Linkhart, Shakevya",1281,1985,"No",8,2,3,11,96,3,7360,"Satisfied","Y",2,4,"Healthcare Representative",2,5,"Female","Travel_Rarely","Medical","Single","High",6142,80,34,10,761,2,4,1,"No","Research & Development",1,3,0,3,970
"282",282,"al-Kazi, Fateena",1282,1968,"No",6,1,2,14,40,7,4257,"Satisfied","Y",2,7,"Laboratory Technician",2,7,"Female","Travel_Frequently","Medical","Single","High",2838,80,51,8,1295,6,2,1,"No","Research & Development",0,2,0,0,968
"283",283,"Thao, Zeavennia",1283,1985,"No",28,2,3,21,95,7,8978,"Satisfied","Y",4,1,"Sales Executive",3,8,"Female","Travel_Rarely","Marketing","Married","Very High",6712,80,34,8,2030,2,4,1,"No","Sales",7,2,2,1,704
"284",284,"Santillan, Cassandra",1284,1980,"No",4,2,1,13,81,8,3140,"Satisfied","Y",1,3,"Manufacturing Director",3,9,"Female","Travel_Frequently","Medical","Single","High",5042,80,39,10,1634,2,4,1,"No","Research & Development",2,3,0,0,711
"285",285,"Le, Dana",1285,1987,"No",8,2,2,12,91,3,22162,"Satisfied","Y",3,1,"Research Scientist",2,5,"Female","Travel_Rarely","Medical","Married","High",5175,80,32,9,863,3,3,1,"No","Research & Development",3,4,1,5,638
"286",286,"Patrick, Jaylon",1286,1990,"No",15,1,3,19,60,5,22673,"Very Satisfied","Y",3,1,"Research Scientist",3,6,"Male","Travel_Rarely","Life Sciences","Single","High",2340,80,29,6,349,1,1,1,"No","Research & Development",5,3,0,1,665
"287",287,"al-Akhtar, Wajdi",1287,1979,"No",1,1,2,19,83,0,4060,"Very Satisfied","Y",1,0,"Laboratory Technician",4,1,"Male","Travel_Rarely","Life Sciences","Married","High",2406,80,40,8,2016,3,3,1,"No","Research & Development",0,3,2,8,543
"288",288,"al-Jaffer, Sakeen",1288,1985,"No",1,1,2,12,42,8,7660,"Very Satisfied","Y",2,8,"Research Scientist",5,10,"Male","Travel_Rarely","Life Sciences","Married","High",2691,80,34,10,682,4,4,1,"No","Research & Development",9,3,1,1,1397
"289",289,"Ochoa, Alexis",1289,1974,"No",25,2,2,13,93,8,23888,"Very Satisfied","Y",2,3,"Manufacturing Director",2,9,"Female","Travel_Rarely","Life Sciences","Married","High",5906,80,45,10,1886,2,4,1,"No","Research & Development",8,2,2,0,556
"290",290,"Alemayohu, Aaron",1290,2001,"Yes",8,1,3,12,80,0,13556,"Satisfied","Y",3,0,"Laboratory Technician",1,0,"Male","Non-Travel","Medical","Single","High",1904,80,18,0,1157,NA,4,1,"No","Research & Development",0,3,0,1,247
"291",291,"Feil, Alec",1291,1991,"No",1,1,2,11,44,2,6842,"Satisfied","Y",4,0,"Laboratory Technician",4,4,"Male","Travel_Frequently","Medical","Single","High",2154,80,28,5,1294,2,3,1,"Yes","Research & Development",2,3,0,0,791
"292",292,"Badsky, Daniel",1292,1972,"No",14,2,3,12,42,7,11825,"Disatisfied","Y",4,1,"Sales Executive",4,7,"Male","Travel_Rarely","Marketing","Single","High",4960,80,47,20,730,2,4,1,"No","Sales",7,3,0,2,703
"293",293,"Leming, Cecelia",1293,1986,"No",1,4,3,19,95,5,22578,"Satisfied","Y",1,0,"Research Director",5,6,"Female","Travel_Rarely","Medical","Divorced","High",16184,80,33,10,608,2,3,1,"No","Research & Development",1,4,1,4,922
"294",294,"Craig, Jermaine",1294,1973,"Yes",9,3,4,11,52,3,15986,"Very Satisfied","Y",1,4,"Sales Executive",3,7,"Male","Travel_Rarely","Marketing","Divorced","High",10096,80,46,28,1449,1,1,1,"No","Sales",7,3,1,4,377
"295",295,"Solorzano, Timothy",1295,1979,"Yes",9,1,1,14,86,0,21831,"Disatisfied","Y",4,1,"Laboratory Technician",4,5,"Male","Travel_Rarely","Life Sciences","Single","High",2018,80,40,15,1537,3,2,1,"No","Research & Development",4,3,0,3,676
"296",296,"Lamb, Larry",1296,1969,"Yes",1,2,3,12,94,1,14255,"Satisfied","Y",2,0,"Sales Executive",4,6,"Male","Travel_Frequently","Life Sciences","Divorced","High",6728,80,50,12,2043,3,4,1,"No","Sales",3,3,2,7,878
"297",297,"Sabala, Kevin",1297,1979,"No",1,4,3,11,98,16,18991,"Disatisfied","Y",1,11,"Manager",4,19,"Male","Travel_Rarely","Life Sciences","Divorced","High",16823,80,40,22,1894,3,1,1,"No","Research & Development",7,3,1,2,1137
"298",298,"el-Mina, Safar",1298,1984,"No",18,2,1,16,71,4,15975,"Disatisfied","Y",2,0,"Sales Executive",4,5,"Male","Travel_Rarely","Medical","Married","High",5561,80,35,6,1946,2,4,1,"No","Sales",3,3,1,0,682
"299",299,"el-Ramin, Imtinaan",1299,1981,"No",1,3,3,13,80,11,16292,"Disatisfied","Y",4,5,"Research Director",3,15,"Female","Travel_Rarely","Technical Degree","Married","High",13582,80,38,15,944,3,2,1,"No","Research & Development",12,3,1,1,1333
"300",300,"el-Niazi, Umar",1300,1973,"No",3,4,3,12,52,9,15596,"Satisfied","Y",1,4,"Manager",1,12,"Male","Travel_Rarely","Marketing","Married","High",17465,80,46,23,1131,3,4,1,"No","Sales",9,3,1,3,406
"301",301,"Young, Donald",1301,1984,"Yes",4,3,3,22,86,7,10333,"Disatisfied","Y",4,4,"Sales Executive",3,8,"Male","Travel_Rarely","Technical Degree","Single","Very High",9582,80,35,9,1093,2,1,1,"Yes","Sales",7,3,0,0,1204
"302",302,"Cumbee, Madeline",1302,1976,"No",7,3,2,16,43,0,9262,"Disatisfied","Y",3,0,"Healthcare Representative",3,1,"Female","Travel_Rarely","Life Sciences","Married","High",9985,80,43,10,455,1,1,1,"No","Research & Development",0,3,1,8,1001
"303",303,"Gregory, Samantha",1303,1965,"No",2,3,1,12,60,3,24001,"Satisfied","Y",1,0,"Research Director",4,4,"Female","Travel_Rarely","Technical Degree","Married","High",13549,80,54,16,131,5,1,1,"No","Research & Development",3,3,1,9,1217
"304",304,"Bauer, Andrew",1304,1977,"No",2,3,1,14,40,9,18611,"Very Satisfied","Y",4,13,"Healthcare Representative",3,20,"Male","Travel_Frequently","Life Sciences","Married","High",10124,80,42,24,1552,3,3,1,"Yes","Research & Development",8,3,1,2,288
"305",305,"Allen, Teryl",1305,1978,"No",6,3,3,18,75,0,14674,"Very Satisfied","Y",4,0,"Manager",3,1,"Female","Travel_Rarely","Life Sciences","Single","High",13591,80,41,16,299,3,3,1,"Yes","Sales",0,3,0,3,896
"306",306,"Schenally, Veronica",1306,1963,"No",4,5,3,13,92,2,18575,"Disatisfied","Y",4,4,"Manager",4,5,"Female","Travel_Rarely","Technical Degree","Divorced","High",19943,80,56,28,1198,2,4,1,"No","Research & Development",2,3,1,4,718
"307",307,"Foster, Anchal",1307,1990,"No",28,1,3,22,93,7,26968,"Very Satisfied","Y",3,1,"Research Scientist",4,7,"Female","Travel_Rarely","Life Sciences","Divorced","Very High",2514,80,29,11,1128,1,1,1,"No","Research & Development",5,3,1,4,1107
"308",308,"Paiz, Isaiah",1308,1973,"No",2,3,2,14,82,7,19989,"Very Satisfied","Y",4,4,"Manufacturing Director",2,9,"Male","Travel_Rarely","Life Sciences","Divorced","High",8578,80,46,12,1861,4,3,1,"No","Research & Development",8,3,1,3,706
"309",309,"Cabral, Marcus",1309,1982,"No",3,3,3,12,87,3,14506,"Very Satisfied","Y",3,1,"Sales Executive",3,5,"Male","Travel_Rarely","Life Sciences","Single","High",7428,80,37,12,146,3,1,1,"No","Sales",3,3,0,2,1189
"310",310,"Liquete, Joshua",1310,1983,"Yes",3,3,3,11,51,7,5518,"Very Satisfied","Y",3,3,"Sales Executive",1,16,"Male","Travel_Rarely","Life Sciences","Married","High",10325,80,36,16,974,6,1,1,"Yes","Sales",7,2,1,1,530
"311",311,"el-Nazir, Tawfeeq",1311,1982,"Yes",10,2,1,15,58,8,4992,"Disatisfied","Y",4,0,"Manufacturing Director",4,10,"Male","Travel_Rarely","Medical","Single","High",4213,80,37,10,1814,4,2,1,"No","Research & Development",3,3,0,1,370
"312",312,"Yazzie, Lakota",1312,1980,"No",10,4,3,14,99,10,5355,"Disatisfied","Y",3,11,"Manager",1,21,"Male","Travel_Rarely","Medical","Married","High",17068,80,39,21,436,3,4,1,"Yes","Research & Development",9,3,0,1,117
"313",313,"Pruet, Teresita",1313,1986,"No",1,2,3,13,84,2,20161,"OK","Y",3,1,"Healthcare Representative",4,6,"Female","Travel_Frequently","Other","Married","High",5488,80,33,6,995,2,1,1,"Yes","Research & Development",5,4,1,1,827
"314",314,"Liebow, Antonio",1314,1967,"No",6,2,3,12,78,9,22087,"Disatisfied","Y",4,6,"Research Scientist",2,10,"Male","Travel_Rarely","Technical Degree","Divorced","High",5577,80,52,18,631,3,2,1,"Yes","Research & Development",9,3,2,3,956
"315",315,"Walcott, Kristyn",1315,1974,"Yes",26,2,3,14,100,0,5630,"Disatisfied","Y",1,0,"Sales Executive",4,1,"Female","Travel_Frequently","Life Sciences","Married","High",4286,80,45,5,692,4,4,1,"No","Sales",1,3,2,2,306
"316",316,"Steege, Tyler",1316,1991,"Yes",17,1,2,12,32,3,18779,"Very Satisfied","Y",3,0,"Laboratory Technician",3,4,"Male","Travel_Rarely","Technical Degree","Divorced","High",2367,80,28,6,1955,2,1,1,"No","Research & Development",1,2,1,5,1404
"317",317,"al-Dar, Aaisha",1317,1966,"No",1,4,2,20,60,2,22308,"Satisfied","Y",1,0,"Manufacturing Director",4,3,"Female","Non-Travel","Medical","Married","Very High",12965,80,53,27,1778,2,4,1,"Yes","Research & Development",2,2,3,4,661
"318",318,"Lara, Victor",1318,1970,"No",7,3,3,24,31,0,12066,"Satisfied","Y",2,0,"Healthcare Representative",3,5,"Male","Travel_Rarely","Other","Single","Very High",10965,80,49,26,502,2,3,1,"No","Research & Development",2,2,0,8,1261
"319",319,"Bowers, Christina",1319,1975,"No",1,1,3,18,44,2,4167,"Very Satisfied","Y",3,2,"Human Resources",3,2,"Female","Travel_Rarely","Life Sciences","Divorced","High",3195,80,44,8,1681,2,1,1,"Yes","Human Resources",2,3,3,4,528
"320",320,"al-Youssef, Naseefa",1320,1979,"No",2,1,2,17,99,2,25605,"Disatisfied","Y",3,0,"Laboratory Technician",2,4,"Female","Travel_Rarely","Life Sciences","Married","High",3377,80,40,7,1808,5,4,1,"No","Research & Development",3,3,1,4,616
"321",321,"Pisarski, Cameron",1321,1974,"No",4,2,2,12,57,8,23163,"OK","Y",3,0,"Laboratory Technician",2,9,"Male","Non-Travel","Life Sciences","Married","High",4447,80,45,9,974,5,2,1,"No","Research & Development",7,3,0,1,805
"322",322,"Moss, Tess",1322,1974,"No",6,3,3,12,57,8,16840,"Very Satisfied","Y",4,12,"Sales Executive",3,19,"Female","Non-Travel","Medical","Single","High",8865,80,45,23,301,2,4,1,"No","Sales",7,2,0,6,1052
"323",323,"al-Saber, Jaasim",1323,1990,"Yes",24,1,3,17,45,0,10642,"Disatisfied","Y",3,0,"Sales Representative",3,1,"Male","Travel_Frequently","Technical Degree","Single","High",1091,80,29,1,1930,3,4,1,"No","Sales",0,4,0,1,746
"324",324,"Mcelhinney, Alec",1324,1986,"Yes",3,1,3,11,70,7,3164,"Disatisfied","Y",1,9,"Research Scientist",3,10,"Male","Travel_Frequently","Life Sciences","Single","High",3348,80,33,10,703,3,1,1,"Yes","Research & Development",8,3,0,1,1076
"325",325,"Rocha, Enrique",1325,1973,"No",1,3,2,13,40,5,3142,"Disatisfied","Y",3,9,"Healthcare Representative",3,10,"Male","Travel_Frequently","Medical","Married","High",10673,80,46,21,118,5,3,1,"Yes","Research & Development",9,2,1,2,638
"326",326,"Charley, Lance",1326,1990,"No",19,2,4,12,34,2,22645,"Very Satisfied","Y",4,1,"Manufacturing Director",3,3,"Male","Travel_Rarely","Technical Degree","Divorced","High",4262,80,29,8,609,2,2,1,"No","Research & Development",2,3,2,4,232
"327",327,"Cordova, Brian",1327,1967,"No",19,1,3,18,41,2,26589,"Very Satisfied","Y",4,1,"Research Scientist",4,4,"Male","Non-Travel","Medical","Married","High",4258,80,52,5,787,3,1,1,"No","Research & Development",3,3,1,0,715
"328",328,"Heiman, Brett",1328,1993,"No",4,1,2,20,53,2,9973,"Very Satisfied","Y",3,2,"Research Scientist",2,8,"Male","Travel_Rarely","Life Sciences","Single","Very High",2875,80,26,8,1282,2,2,1,"Yes","Research & Development",5,3,0,1,583
"329",329,"Torres, Jacob",1329,1982,"Yes",10,3,3,11,61,0,22573,"Satisfied","Y",1,0,"Manufacturing Director",3,1,"Male","Travel_Frequently","Medical","Divorced","High",10048,80,37,17,344,5,2,1,"No","Research & Development",0,3,2,6,504
"330",330,"Golden, Tyshun",1330,1963,"No",8,5,3,14,99,7,4022,"OK","Y",4,7,"Manager",4,7,"Male","Travel_Rarely","Life Sciences","Single","High",19717,80,56,36,1336,4,1,1,"No","Human Resources",3,3,0,6,206
"331",331,"al-Ahmed, Zayyaan",1331,1992,"No",3,1,2,11,50,0,16571,"Very Satisfied","Y",4,0,"Research Scientist",3,0,"Male","Non-Travel","Medical","Married","High",1706,80,27,0,845,6,3,1,"No","Research & Development",0,3,3,1,443
"332",332,"Hullett, Branden",1332,1978,"No",6,2,3,15,95,2,10110,"OK","Y",4,1,"Manufacturing Director",3,5,"Male","Travel_Rarely","Medical","Single","High",6032,80,41,8,471,3,4,1,"Yes","Research & Development",4,2,0,6,483
"333",333,"Brown, Kyle",1333,1999,"No",3,1,2,12,87,2,12828,"Satisfied","Y",1,1,"Laboratory Technician",3,2,"Male","Travel_Rarely","Life Sciences","Single","High",3033,80,20,2,1192,2,1,1,"No","Research & Development",2,2,0,1,805
"334",334,"Avila, Carly",1334,1972,"No",2,4,4,19,82,6,26703,"Satisfied","Y",1,5,"Research Director",4,20,"Female","Travel_Rarely","Medical","Married","High",17169,80,47,26,1451,2,2,1,"No","Research & Development",17,3,2,3,359
"335",335,"Yohannes, Larue",1335,1995,"Yes",9,1,2,11,89,0,16998,"Disatisfied","Y",2,0,"Laboratory Technician",3,0,"Male","Travel_Frequently","Medical","Single","High",3172,80,24,4,1500,2,3,1,"Yes","Research & Development",0,3,0,2,381
"336",336,"Higa, Douglas",1336,1964,"No",18,2,3,14,62,7,12992,"OK","Y",3,6,"Healthcare Representative",4,8,"Male","Travel_Frequently","Medical","Married","High",6385,80,55,17,1032,3,4,1,"Yes","Research & Development",7,3,2,3,135
"337",337,"Vasquez, Anthony",1337,1999,"Yes",4,1,3,19,84,0,13008,"Disatisfied","Y",1,0,"Laboratory Technician",3,1,"Male","Travel_Rarely","Technical Degree","Single","High",2973,80,20,1,956,2,2,1,"No","Research & Development",0,3,0,1,129
"338",338,"Thompson, Renthia",1338,1970,"No",6,4,3,19,41,12,11652,"Satisfied","Y",3,2,"Healthcare Representative",1,15,"Female","Travel_Rarely","Life Sciences","Married","High",13966,80,49,30,1667,3,2,1,"Yes","Research & Development",11,2,1,2,465
"339",339,"Sandoval-Ruiz, Olivia",1339,1986,"Yes",29,2,3,22,54,8,3129,"Satisfied","Y",1,3,"Research Scientist",4,13,"Female","Travel_Frequently","Medical","Single","Very High",4508,80,33,14,1107,4,2,1,"No","Research & Development",7,2,0,1,827
"340",340,"Krichau, Jessie",1340,1997,"No",1,2,1,22,33,2,19146,"Very Satisfied","Y",4,2,"Manufacturing Director",2,2,"Male","Travel_Rarely","Life Sciences","Married","Very High",4775,80,22,4,875,2,1,1,"No","Research & Development",2,2,2,6,1230
"341",341,"Miera, Talon",1341,1991,"No",16,1,2,14,49,4,2122,"Satisfied","Y",3,1,"Research Scientist",3,5,"Male","Non-Travel","Medical","Single","High",2144,80,28,5,1941,3,3,1,"No","Research & Development",3,3,0,1,1103
"342",342,"Benally, Brenden",1342,1967,"No",7,3,3,19,87,0,15322,"OK","Y",2,4,"Healthcare Representative",4,8,"Male","Travel_Rarely","Life Sciences","Single","High",10445,80,52,18,1125,4,4,1,"No","Research & Development",6,3,0,7,994
"343",343,"el-Kassem, Uqbah",1343,1981,"No",29,2,1,18,54,7,4185,"Very Satisfied","Y",4,1,"Manufacturing Director",3,7,"Male","Travel_Rarely","Technical Degree","Married","High",6261,80,38,9,275,3,1,1,"No","Research & Development",7,3,1,3,1084
"344",344,"Moats, Dakoda",1344,1969,"No",1,4,2,22,66,3,6615,"Very Satisfied","Y",4,1,"Research Director",2,5,"Male","Travel_Rarely","Medical","Divorced","Very High",17399,80,50,32,999,1,3,1,"No","Research & Development",4,3,1,9,1126
"345",345,"el-Azer, Mufeeda",1345,1974,"No",2,1,3,14,95,0,6153,"Satisfied","Y",2,0,"Research Scientist",3,1,"Female","Travel_Rarely","Life Sciences","Single","High",2274,80,45,1,837,3,4,1,"No","Research & Development",0,2,0,1,252
"346",346,"Zuniga, Elizabeth",1346,1990,"No",6,1,3,13,54,8,26342,"Very Satisfied","Y",2,0,"Laboratory Technician",1,10,"Female","Travel_Rarely","Medical","Married","High",3131,80,29,10,1193,5,1,1,"No","Research & Development",8,3,1,1,1401
"347",347,"Rockey, Matthew",1347,1966,"No",2,4,2,12,39,8,19764,"OK","Y",4,8,"Research Director",3,9,"Male","Travel_Rarely","Medical","Single","High",16598,80,53,35,1466,2,2,1,"No","Research & Development",8,4,0,4,447
"348",348,"Gurreri, Dakota",1348,1991,"No",5,2,3,14,98,2,24252,"Very Satisfied","Y",1,0,"Sales Executive",4,4,"Male","Travel_Rarely","Medical","Single","High",4908,80,28,4,912,3,2,1,"No","Sales",2,3,0,1,821
"349",349,"Bison, Howard",1349,1995,"No",9,1,3,16,62,4,17616,"Satisfied","Y",3,0,"Research Scientist",3,5,"Male","Travel_Rarely","Medical","Married","High",4401,80,24,5,1715,1,4,1,"No","Research & Development",3,4,1,1,581
"350",350,"Martinez, Ellie",1350,1963,"No",11,2,3,16,89,0,20328,"Disatisfied","Y",4,0,"Sales Executive",5,0,"Female","Travel_Rarely","Marketing","Married","High",5380,80,56,6,1928,3,3,1,"No","Sales",0,2,1,4,1443
"351",351,"Alkali, Jacqulynn",1351,1983,"No",4,2,3,13,97,2,9192,"OK","Y",4,0,"Manufacturing Director",2,4,"Female","Travel_Frequently","Life Sciences","Divorced","High",5131,80,36,18,2032,3,2,1,"No","Research & Development",2,3,3,7,688
"352",352,"Nguyen, Kenny",1352,1985,"No",2,1,3,14,97,2,5586,"Very Satisfied","Y",4,1,"Research Scientist",4,5,"Male","Travel_Rarely","Medical","Married","High",2932,80,34,6,1748,3,1,1,"Yes","Research & Development",0,4,3,0,181
"353",353,"Howard, Diamond",1353,1992,"No",2,2,2,14,89,7,26997,"Satisfied","Y",1,0,"Sales Executive",2,8,"Female","Travel_Rarely","Medical","Single","High",6500,80,27,9,1906,5,2,1,"No","Sales",7,4,0,0,511
"354",354,"Hammond, Christopher",1354,1988,"No",2,2,3,12,62,0,17822,"Disatisfied","Y",1,1,"Human Resources",3,2,"Male","Travel_Rarely","Human Resources","Married","High",6410,80,31,9,431,1,4,1,"No","Human Resources",2,2,0,3,106
"355",355,"Johnson-Bailey, Tiana",1355,1986,"No",16,2,3,25,36,2,16130,"Very Satisfied","Y",3,1,"Sales Executive",3,6,"Female","Non-Travel","Life Sciences","Divorced","Very High",5368,80,33,7,1689,2,3,1,"Yes","Sales",5,3,1,1,530
"356",356,"Hlavacek, Trent",1356,1975,"No",8,1,2,24,62,2,5044,"Very Satisfied","Y",1,0,"Laboratory Technician",4,3,"Male","Travel_Rarely","Life Sciences","Married","Very High",2818,80,44,10,867,2,3,1,"Yes","Research & Development",2,4,1,2,986
"357",357,"Kolozsy, Michael",1357,1993,"No",7,1,3,20,76,7,11925,"Very Satisfied","Y",4,5,"Laboratory Technician",3,7,"Male","Non-Travel","Medical","Single","Very High",2570,80,26,7,1698,5,3,1,"No","Research & Development",7,3,0,1,786
"358",358,"Lee, Michelle",1358,1977,"No",23,4,3,14,44,0,15901,"Very Satisfied","Y",1,0,"Research Director",5,1,"Female","Travel_Rarely","Life Sciences","Single","High",15992,80,42,16,470,2,2,1,"No","Research & Development",0,3,0,2,810
"359",359,"James, Bryanne",1359,1993,"No",6,1,2,19,46,3,23300,"OK","Y",3,4,"Research Scientist",3,5,"Female","Travel_Rarely","Other","Married","High",2368,80,26,5,158,3,3,1,"No","Research & Development",4,2,0,1,841
"360",360,"Horn, Aruwa",1360,1990,"No",13,2,3,13,46,3,23679,"OK","Y",4,0,"Laboratory Technician",2,4,"Male","Travel_Rarely","Other","Married","High",4025,80,29,10,2055,2,1,1,"Yes","Research & Development",3,2,1,4,1378
"361",361,"Samora, Davon",1361,1997,"No",16,1,2,13,96,0,7324,"Very Satisfied","Y",4,0,"Laboratory Technician",2,1,"Male","Non-Travel","Medical","Divorced","High",2935,80,22,1,30,2,2,1,"Yes","Research & Development",0,4,2,1,1123
"362",362,"Geisz, Dylan",1362,1993,"No",2,1,3,12,36,1,4050,"Very Satisfied","Y",1,1,"Research Scientist",1,4,"Male","Travel_Rarely","Medical","Single","High",3904,80,26,5,1411,2,4,1,"No","Research & Development",3,2,0,0,683
"363",363,"Friednash, Morgan",1363,1983,"No",5,3,3,12,42,2,22792,"Disatisfied","Y",2,0,"Healthcare Representative",4,3,"Female","Travel_Rarely","Life Sciences","Married","High",8008,80,36,9,1646,6,3,1,"No","Research & Development",2,3,2,4,711
"364",364,"el-Abdoo, Razeen",1364,1981,"No",3,3,2,12,76,13,9647,"Satisfied","Y",1,5,"Sales Executive",3,16,"Male","Travel_Rarely","Life Sciences","Divorced","High",10609,80,38,17,306,6,3,1,"No","Sales",10,3,2,0,119
"365",365,"Smith, Kendra",1365,1981,"No",2,2,3,12,75,12,26085,"Disatisfied","Y",1,4,"Manufacturing Director",4,15,"Female","Travel_Frequently","Life Sciences","Single","High",5980,80,38,17,795,2,4,1,"Yes","Research & Development",7,4,0,6,240
"366",366,"Bear-Flores, Jeffrey",1366,1993,"No",7,1,3,12,100,7,23577,"Disatisfied","Y",3,0,"Laboratory Technician",3,7,"Male","Travel_Rarely","Other","Single","High",3578,80,26,8,1422,2,4,1,"No","Research & Development",7,4,0,0,652
"367",367,"Skudneski, Angelina",1367,1994,"No",2,1,3,14,82,2,19655,"OK","Y",3,1,"Human Resources",3,2,"Female","Travel_Rarely","Human Resources","Married","High",2187,80,25,6,1986,3,3,1,"No","Human Resources",0,3,0,4,309
"368",368,"Manwiller, Allison",1368,1999,"Yes",2,1,2,13,49,2,22052,"Satisfied","Y",3,0,"Sales Representative",3,2,"Female","Travel_Rarely","Medical","Single","High",2044,80,20,2,927,3,4,1,"No","Sales",2,2,0,1,500
"369",369,"Medina, Krislynn",1369,1994,"No",1,2,3,12,62,2,7505,"Satisfied","Y",1,1,"Manufacturing Director",3,4,"Female","Travel_Rarely","Life Sciences","Married","High",4898,80,25,5,343,3,4,1,"No","Research & Development",2,3,2,0,685
"370",370,"Shea, Clint",1370,1988,"Yes",9,1,3,22,46,2,10322,"Disatisfied","Y",3,1,"Research Scientist",2,3,"Male","Non-Travel","Medical","Single","Very High",2321,80,31,4,984,NA,1,1,"Yes","Research & Development",2,2,0,0,335
"371",371,"Lyons, Marek",1371,1975,"No",1,2,3,11,37,2,10503,"Very Satisfied","Y",1,0,"Human Resources",5,10,"Male","Travel_Frequently","Human Resources","Married","High",5743,80,44,14,1636,3,3,1,"Yes","Human Resources",7,3,0,4,602
"372",372,"Bell, Skylar",1372,1998,"Yes",1,1,3,11,99,2,9150,"OK","Y",1,1,"Sales Representative",1,3,"Female","Travel_Frequently","Technical Degree","Single","High",2174,80,21,3,480,3,3,1,"Yes","Sales",2,2,0,1,756
"373",373,"Williams, Gerald",1373,1998,"No",22,1,3,11,49,2,24444,"Satisfied","Y",3,1,"Sales Representative",1,3,"Male","Travel_Rarely","Technical Degree","Single","High",3447,80,21,3,675,2,3,1,"No","Sales",2,3,0,1,1343
"374",374,"Carter, Sabrina",1374,1981,"No",1,3,4,14,81,0,15397,"Satisfied","Y",3,0,"Manufacturing Director",3,1,"Female","Travel_Rarely","Life Sciences","Single","High",7861,80,38,10,741,4,4,1,"Yes","Research & Development",0,3,0,4,168
"375",375,"Gomez, Yonathan",1375,1977,"No",5,1,3,17,97,0,9260,"Satisfied","Y",2,2,"Laboratory Technician",2,2,"Male","Travel_Frequently","Other","Married","High",2093,80,42,8,584,4,4,1,"No","Research & Development",2,3,1,4,1474
"376",376,"Acosta, Ariel",1376,1992,"No",3,2,3,20,71,4,16673,"Very Satisfied","Y",4,0,"Sales Executive",1,6,"Female","Travel_Frequently","Medical","Divorced","Very High",4647,80,27,6,709,3,2,1,"Yes","Sales",5,4,2,1,1410
"377",377,"al-Sadri, Imraan",1377,1982,"No",2,2,4,14,100,0,15850,"Very Satisfied","Y",3,0,"Healthcare Representative",2,1,"Male","Non-Travel","Life Sciences","Divorced","High",5163,80,37,17,135,2,4,1,"No","Research & Development",0,2,1,5,1040
"378",378,"Galvan Callejas, Nataly",1378,1982,"No",10,2,3,14,88,0,24223,"Very Satisfied","Y",4,0,"Sales Executive",4,1,"Female","Travel_Rarely","Life Sciences","Divorced","High",6694,80,37,8,1112,5,3,1,"Yes","Sales",0,2,3,2,309
"379",379,"Knodel-Eldridge, Anthony",1379,1984,"No",NA,1,3,12,75,0,10910,"Very Satisfied","Y",3,0,"Laboratory Technician",2,1,"Male","Travel_Rarely","Other","Divorced","High",1951,80,35,1,47,3,3,1,"No","Research & Development",0,3,1,1,464
"380",380,"Cranston, Tyler",1380,1971,"No",7,2,3,11,96,2,24795,"Disatisfied","Y",3,2,"Sales Executive",3,2,"Male","Travel_Rarely","Marketing","Divorced","High",5486,80,48,15,1470,3,1,1,"No","Sales",2,3,3,4,1221
